team_name,opponent_pace,opponent_offensive_rating,opponent_free_throw_attempt_rate,opponent_three_point_attempt_rate,opponent_true_shooting_percentage,opponent_team_rebound_percentage,opponent_assist_percentage,opponent_steal_percentage,opponent_block_percentage,opponent_effective_field_goal_percentage,opponent_turnover_percentage,opponent_offensive_rebound_percentage,opponent_free_throws_per_field_goal_attempt,pace,offensive_rating,free_throw_attempt_rate,three_point_attempt_rate,true_shooting_percentage,team_rebound_percentage,assist_percentage,steal_percentage,block_percentage,effective_field_goal_percentage,turnover_percentage,offensive_rebound_percentage,free_throws_per_field_goal_attempt,opponent_field_goals,opponent_field_goals_attempted,opponent_field_goal_percentage,opponent_three_point_field_goals,opponent_three_point_field_goals_attempted,opponent_three_point_percentage,opponent_free_throws,opponent_free_throws_attempted,opponent_free_throw_percentage,opponent_offensive_rebounds,opponent_team_rebounds,opponent_assists,opponent_steals,opponent_blocks,opponent_turnovers,opponent_personal_fouls,games,wins,losses,win_percentage,simple_rating_system,strength_of_schedule,wins_conf,losses_conf,home_wins,home_losses,wins_visitor,losses_visitor,team_points,opponent_points,minutes_played,field_goals,field_goals_attempted,field_goal_percentage,three_point_field_goals,three_point_field_goals_attempted,three_point_percentage,free_throws,free_throws_attempted,free_throw_percentage,offensive_rebounds,team_rebounds,assists,steals,blocks,turnovers,personal_fouls,conference,points_per_game,opponent_points_per_game,margin_of_victory,offensive_srs,defensive_srs,offensive_rating_adjusted,defensive_rating_adjusted,net_rating_adjusted,date
Lamar,72.7,72.9,.340,.396,.431,37.0,70.6,9.6,5.7,.396,24.5,22.5,.208,72.7,127.9,.365,.444,.629,63.0,69.7,13.7,12.5,.603,15.9,45.5,.270,17,53,.321,8,21,.381,11,18,.611,9,27,12,7,2,20,17,1,1,0,1.000,,,,,1,0,0,0,93,53,40,33,63,.524,10,28,.357,17,23,.739,15,46,23,10,4,14,18,Southland,93.0,53.0,40.00,,,,,,2025-11-08
Le Moyne,72.7,85.3,.216,.371,.485,46.8,68.9,8.3,8.9,.466,21.5,26.0,.138,72.7,112.1,.202,.363,.600,53.2,66.7,15.1,9.6,.589,17.6,27.4,.137,45,116,.388,18,43,.419,16,25,.640,20,65,31,12,7,35,29,2,1,1,.500,-0.50,4.50,,,1,0,0,1,163,124,80,66,124,.532,14,45,.311,17,25,.680,17,74,44,22,7,29,31,NEC,81.5,62.0,19.50,3.50,-4.00,107.90,108.60,-0.70,2025-11-08
Lehigh,72.5,87.5,.254,.323,.436,49.7,51.1,12.4,13.9,.385,17.1,33.7,.208,72.5,102.0,.347,.390,.538,50.3,50.9,13.1,11.4,.508,17.4,31.5,.237,45,130,.346,10,42,.238,27,33,.818,29,79,23,18,10,30,42,2,1,1,.500,0.00,18.00,,,1,0,0,1,148,127,80,53,118,.449,14,46,.304,28,41,.683,23,80,27,19,10,29,31,Patriot,74.0,63.5,10.50,0.00,0.00,103.01,103.01,0.00,2025-11-08
Liberty,66.4,99.4,.226,.391,.518,42.1,50.0,6.8,6.8,.500,14.2,20.0,.148,66.4,141.5,.231,.512,.700,57.9,58.6,9.0,11.4,.702,10.0,29.3,.149,48,115,.417,19,45,.422,17,26,.654,15,56,24,9,4,21,30,2,2,0,1.000,0.00,-15.00,,,2,0,0,0,188,132,80,70,121,.579,30,62,.484,18,28,.643,17,77,41,12,8,15,26,CUSA,94.0,66.0,28.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
Lindenwood,78.1,95.4,.284,.433,.466,49.1,48.1,12.2,3.3,.450,15.3,33.3,.156,78.1,112.6,.285,.343,.566,50.9,59.1,12.8,6.3,.544,13.4,31.2,.197,54,141,.383,19,61,.311,22,40,.550,32,85,26,19,3,29,32,2,1,1,.500,-8.50,29.50,,,1,0,0,1,176,149,80,66,137,.482,17,47,.362,27,39,.692,24,88,39,20,5,24,34,OVC,88.0,74.5,13.50,-8.50,0.00,99.85,102.10,-2.26,2025-11-08
Lipscomb,74.8,140.4,.250,.456,.690,52.1,63.2,17.4,20.0,.684,7.3,24.2,.176,74.8,81.6,.393,.464,.459,47.9,47.1,4.0,2.7,.357,21.3,23.7,.375,38,68,.559,17,31,.548,12,17,.706,8,37,24,13,6,6,19,1,0,1,.000,0.00,44.00,,,0,0,0,1,61,105,40,17,56,.304,6,26,.231,21,22,.955,9,34,8,3,1,18,16,A-Sun,61.0,105.0,-44.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
Little Rock,78.4,80.4,.186,.322,.490,37.5,33.3,14.0,3.8,.458,23.7,19.4,.153,78.4,117.4,.290,.246,.586,62.5,62.2,17.9,12.5,.594,16.0,45.5,.145,24,59,.407,6,19,.316,9,11,.818,6,24,8,11,2,20,18,1,1,0,1.000,,,,,1,0,0,0,92,63,40,37,69,.536,8,17,.471,10,20,.500,15,40,23,14,5,15,11,OVC,92.0,63.0,29.00,,,,,,2025-11-08
Long Beach State,71.2,108.1,.317,.383,.558,52.1,61.5,15.4,11.4,.525,17.9,34.3,.233,71.2,63.2,.085,.407,.367,47.9,73.7,9.8,8.1,.364,25.5,31.6,.034,26,60,.433,11,23,.478,14,19,.737,12,38,16,11,4,15,13,1,0,1,.000,0.00,32.00,,,0,0,0,1,45,77,40,19,59,.322,5,24,.208,2,5,.400,12,35,14,7,3,21,20,Big West,45.0,77.0,-32.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
Long Island University,78.7,113.7,.361,.429,.574,51.3,57.4,14.6,4.3,.541,17.5,39.2,.263,78.7,102.2,.438,.240,.551,48.7,51.7,12.1,13.2,.541,20.6,36.0,.248,61,133,.459,22,57,.386,35,48,.729,31,79,35,23,4,33,41,2,1,1,.500,-9.12,-0.12,,,0,0,1,1,161,179,80,60,121,.496,11,29,.379,30,53,.566,27,75,31,19,10,38,35,NEC,80.5,89.5,-9.00,-11.93,2.81,90.94,95.12,-4.18,2025-11-08
Longwood,73.6,90.3,.411,.533,.520,45.4,61.9,10.2,7.1,.486,22.4,26.8,.271,73.6,103.2,.425,.228,.498,54.6,39.6,17.0,12.0,.441,15.0,38.3,.315,42,107,.393,20,57,.351,29,44,.659,19,69,26,15,7,37,40,2,1,1,.500,5.31,23.31,,,1,0,0,1,152,133,80,53,127,.417,6,29,.207,40,54,.741,31,83,21,25,6,27,47,Big South,76.0,66.5,9.50,0.47,4.83,105.47,92.20,13.27,2025-11-08
